antecedents,consequents,support,lift,confidence
 (be,having),(should),0.012658,2.976279,0.900000
 (be,having),(should),0.012658,2.976279,0.900000
 (be,having),(should),0.012658,3.854819,0.900000
 (be,for,performed),(should),0.012658,3.306977,1.000000
 (should,for,performed),(be),0.012658,6.076923,1.000000
(by,be,performed),(should),0.014065,3.306977,1.000000
(by,should,performed),(be),0.014065,6.076923,1.000000
(be,by,performed),(should),0.011252,3.306977,1.000000
(performed,by,should),(be),0.011252,6.076923,1.000000
(be,performed),(should),0.022504,3.306977,1.000000
(should,performed),(be),0.022504,5.719457,0.941176
(be,performed),(should),0.016878,3.306977,1.000000
(should,performed),(be),0.016878,6.076923,1.000000
(which,said),(will),0.018284,12.226190,0.928571
(which,said),(will),0.018284,12.226190,0.928571
(which,said),(will),0.018284,13.204286,0.928571
(by,which,said),(will),0.015471,12.069444,0.916667
(by,which,said),(will),0.015471,12.069444,0.916667
(by,which,said),(will),0.015471,13.035000,0.916667
 (you,which,said),(will),0.014065,13.166667,1.000000
 (you,which,said),(will),0.014065,13.166667,1.000000
 (you,which,said),(will),0.014065,14.220000,1.000000
 (by,you,which,said),(will),0.011252,13.166667,1.000000
 (which,by,you,said),(will),0.011252,13.166667,1.000000
 (by,you,which,said),(will),0.011252,14.220000,1.000000
(which,that,said),(by),0.011252,3.118421,1.000000
(which,that,said),(will),0.011252,13.166667,1.000000
(by,which,that,said),(will),0.011252,13.166667,1.000000
(will,which,that,said),(by),0.011252,3.118421,1.000000
(which,that,said),(by,will),0.011252,26.333333,1.000000
(which,that,said),(by),0.011252,3.118421,1.000000
(which,that,said),(by),0.011252,3.722513,1.000000
(which,that,said),(will),0.011252,13.166667,1.000000
(which,that,said),(will),0.011252,14.220000,1.000000
(which,by,that,said),(will),0.011252,13.166667,1.000000
(which,that,will,said),(by),0.011252,3.118421,1.000000
(which,that,said),(by,will),0.011252,26.333333,1.000000
(by,which,that,said),(will),0.011252,14.220000,1.000000
(will,which,that,said),(by),0.011252,3.722513,1.000000
(which,that,said),(will,by),0.011252,27.346154,1.000000
 (will,that,said),(by),0.012658,2.806579,0.900000
 (will,that,said),(by),0.012658,2.806579,0.900000
 (will,that,said),(by),0.012658,3.350262,0.900000
(you,said),(will),0.019691,12.288889,0.933333
(you,said),(will),0.019691,12.288889,0.933333
(you,said),(will),0.019691,13.272000,0.933333
(by,you,said),(will),0.014065,11.969697,0.909091
(by,you,said),(will),0.014065,11.969697,0.909091
(by,you,said),(will),0.014065,12.927273,0.909091
 (will,that,said),(you),0.012658,10.665000,0.900000
(you,that,said),(will),0.012658,13.166667,1.000000
 (will,that,said),(you),0.012658,10.665000,0.900000
(you,that,said),(will),0.012658,13.166667,1.000000
 (will,that,said),(you),0.012658,11.032759,0.900000
(you,that,said),(will),0.012658,14.220000,1.000000
(by,you,that,said),(will),0.011252,13.166667,1.000000
(by,that,you,said),(will),0.011252,13.166667,1.000000
(by,you,that,said),(will),0.011252,14.220000,1.000000
 (will,have,said),(by),0.012658,2.806579,0.900000
 (by,have,said),(will),0.012658,11.850000,0.900000
 (have,by,said),(will),0.012658,11.850000,0.900000
 (will,said,have),(by),0.012658,2.806579,0.900000
 (by,have,said),(will),0.012658,12.798000,0.900000
 (will,have,said),(by),0.012658,3.350262,0.900000
(have,you,said),(will),0.011252,13.166667,1.000000
(have,you,said),(will),0.011252,13.166667,1.000000
(have,you,said),(will),0.011252,14.220000,1.000000
 (on,said),(by),0.011252,3.118421,1.000000
 (on,said),(by),0.011252,3.118421,1.000000
 (on,said),(by),0.011252,3.722513,1.000000
(for,said),(by),0.012658,2.806579,0.900000
(for,said),(by),0.012658,2.806579,0.900000
(for,said),(by),0.012658,3.350262,0.900000
(have,you,with),(by),0.012658,2.806579,0.900000
(have,you,with),(by),0.012658,2.806579,0.900000
(have,you,with),(by),0.012658,3.350262,0.900000
(have,you,that),(by),0.011252,3.118421,1.000000
(have,you,that),(by),0.011252,3.118421,1.000000
(have,you,that),(by),0.011252,3.722513,1.000000
 (not,has),(who),0.018284,3.301071,0.928571
 (not,with,has),(who),0.012658,3.199500,0.900000
 (about,which),(will),0.014065,11.969697,0.909091
 (about,which),(will),0.014065,11.969697,0.909091
 (about,which),(will),0.014065,12.927273,0.909091
 (about,which,said),(will),0.011252,13.166667,1.000000
 (about,which,said),(will),0.011252,13.166667,1.000000
 (about,which,said),(will),0.011252,14.220000,1.000000
 (about,those),(who),0.012658,3.199500,0.900000
 (about,those),(who),0.012658,3.199500,0.900000
 (about,those),(who),0.012658,3.786391,0.900000
(about,said),(will),0.015471,12.069444,0.916667
(about,said),(will),0.015471,12.069444,0.916667
(about,said),(will),0.015471,13.035000,0.916667
 (about,you,said),(will),0.011252,13.166667,1.000000
 (about,you,said),(will),0.011252,13.166667,1.000000
 (about,you,said),(will),0.011252,14.220000,1.000000
 (about,you,should),(will),0.011252,13.166667,1.000000
 (about,you,should),(will),0.011252,13.166667,1.000000
 (about,you,should),(will),0.011252,14.220000,1.000000
(will,about,he),(you),0.011252,11.850000,1.000000
 (about,you,he),(will),0.011252,13.166667,1.000000
(will,about,he),(you),0.011252,11.850000,1.000000
 (about,you,he),(will),0.011252,13.166667,1.000000
(will,about,he),(you),0.011252,12.258621,1.000000
 (about,you,he),(will),0.011252,14.220000,1.000000
 (it,from,with),(he),0.012658,4.570714,0.900000
 (be,on,it),(should),0.012658,2.976279,0.900000
(who,at,with),(by),0.012658,3.118421,1.000000
(who,with,at),(by),0.011252,3.118421,1.000000
(will,which,that),(you),0.014065,10.772727,0.909091
 (you,which,that),(will),0.014065,11.969697,0.909091
(will,which,that),(you),0.014065,10.772727,0.909091
 (you,which,that),(will),0.014065,11.969697,0.909091
(will,which,that),(you),0.014065,11.144201,0.909091
 (you,which,that),(will),0.014065,12.927273,0.909091
 (by,will,that),(you),0.014065,10.772727,0.909091
 (will,by,that),(you),0.014065,10.772727,0.909091
 (by,will,that),(you),0.014065,11.144201,0.909091
 (have,you,which),(will),0.011252,13.166667,1.000000
 (have,you,which),(will),0.011252,13.166667,1.000000
 (have,you,which),(will),0.011252,14.220000,1.000000
 (will,have,with),(by),0.011252,3.118421,1.000000
 (will,with,have),(by),0.011252,3.118421,1.000000
 (will,have,with),(by),0.011252,3.722513,1.000000
(then,one),(for),0.012658,4.603597,0.900000
(then,one),(for),0.012658,5.115108,1.000000
(then,one),(for),0.012658,5.288430,0.900000
 (will,tell),(you),0.036568,11.411111,0.962963
(tell,you),(will),0.036568,12.679012,0.962963
(tell,you),(will),0.036568,12.679012,0.962963
 (tell,will),(you),0.036568,11.411111,0.962963
(tell,you),(will),0.036568,13.693333,0.962963
 (will,tell),(you),0.036568,11.804598,0.962963
(tell,about),(will),0.022504,12.392157,0.941176
(tell,about),(will),0.022504,12.392157,0.941176
(tell,about),(will),0.022504,13.383529,0.941176
(will,tell,about),(you),0.021097,11.109375,0.937500
 (tell,about,you),(will),0.021097,13.166667,1.000000
(will,about,tell),(you),0.021097,11.109375,0.937500
 (tell,about,you),(will),0.021097,13.166667,1.000000
(will,tell,about),(you),0.021097,11.492457,0.937500
 (tell,about,you),(will),0.021097,14.220000,1.000000
 (by,tell),(will),0.019691,12.288889,0.933333
 (tell,by),(will),0.019691,12.288889,0.933333
 (by,tell),(will),0.019691,13.272000,0.933333
(by,tell,you),(will),0.018284,13.166667,1.000000
 (by,tell,will),(you),0.018284,11.003571,0.928571
 (will,by,tell),(you),0.018284,11.003571,0.928571
(tell,by,you),(will),0.018284,13.166667,1.000000
 (by,will,tell),(you),0.018284,11.383005,0.928571
(by,tell,you),(will),0.018284,14.220000,1.000000
 (by,tell,me),(you),0.014065,10.772727,0.909091
 (by,tell,me),(will),0.014065,11.969697,0.909091
 (tell,by,me),(you),0.014065,10.772727,0.909091
 (by,tell,me),(you),0.014065,11.144201,0.909091
 (tell,by,me),(will),0.014065,11.969697,0.909091
 (by,tell,me),(will),0.014065,12.927273,0.909091
 (by,will,me,tell),(you),0.014065,11.850000,1.000000
(by,will,you,me),(tell),0.014065,20.850440,0.909091
(by,tell,you,me),(will),0.014065,13.166667,1.000000
 (by,tell,me),(will,you),0.014065,19.586777,0.909091
 (by,will,tell,me),(you),0.014065,11.850000,1.000000
(by,will,me,you),(tell),0.014065,20.850440,0.909091
(by,tell,me,you),(will),0.014065,13.166667,1.000000
 (tell,by,me),(will,you),0.014065,19.586777,0.909091
 (by,will,me,tell),(you),0.014065,12.258621,1.000000
(by,will,you,me),(tell),0.014065,20.850440,0.909091
(by,tell,you,me),(will),0.014065,14.220000,1.000000
 (by,tell,me),(will,you),0.014065,20.198864,0.909091
 (will,tell,me),(you),0.018284,11.850000,1.000000
(tell,you,me),(will),0.018284,13.166667,1.000000
 (will,me,tell),(you),0.018284,11.850000,1.000000
(will,you,me),(tell),0.018284,21.297235,0.928571
(tell,you,me),(will),0.018284,13.166667,1.000000
 (will,tell,me),(you),0.018284,12.258621,1.000000
(tell,you,me),(will),0.018284,14.220000,1.000000
 (tell,said),(me),0.018284,19.418067,0.928571
 (tell,said),(will),0.018284,12.226190,0.928571
 (tell,said),(you),0.018284,11.003571,0.928571
 (tell,said),(me),0.018284,19.418067,0.928571
 (tell,said),(me),0.018284,20.631696,0.928571
 (tell,said),(will),0.018284,12.226190,0.928571
 (tell,said),(will),0.018284,13.204286,0.928571
 (will,tell,me),(said),0.016878,17.271255,0.923077
 (will,tell,said),(me),0.016878,19.303167,0.923077
 (tell,me,said),(will),0.016878,12.153846,0.923077
 (will,me,tell),(said),0.016878,17.271255,0.923077
 (will,said,tell),(me),0.016878,19.303167,0.923077
 (tell,me,said),(will),0.016878,12.153846,0.923077
 (will,tell,me),(said),0.016878,18.230769,0.923077
 (will,tell,said),(me),0.016878,20.509615,0.923077
 (tell,me,said),(will),0.016878,13.126154,0.923077
 (will,tell,said),(you),0.018284,11.850000,1.000000
(will,you,said),(tell),0.018284,21.297235,0.928571
(tell,you,said),(will),0.018284,13.166667,1.000000
 (tell,said),(will,you),0.018284,20.006494,0.928571
 (tell,said),(you),0.018284,11.003571,0.928571
